STATE,COUNTYNAME,CWA,TIME_ZONE,DST,Standard Time,Daylight Time
MA,Hampshire,BOX,Eastern Time,True,UTC-5,UTC-4
MA,Norfolk,BOX,Eastern Time,True,UTC-5,UTC-4
ME,Piscataquis,CAR,Eastern Time,True,UTC-5,UTC-4
ME,Somerset,GYXCAR,Eastern Time,True,UTC-5,UTC-4
ME,Aroostook,CAR,Eastern Time,True,UTC-5,UTC-4
ME,Oxford,GYX,Eastern Time,True,UTC-5,UTC-4
ME,Penobscot,CAR,Eastern Time,True,UTC-5,UTC-4
NH,Carroll,GYX,Eastern Time,True,UTC-5,UTC-4
NH,Hillsborough,GYX,Eastern Time,True,UTC-5,UTC-4
NJ,Passaic,OKX,Eastern Time,True,UTC-5,UTC-4
NY,Westchester,OKX,Eastern Time,True,UTC-5,UTC-4
NY,Washington,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Warren,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Fulton,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Essex,BTV,Eastern Time,True,UTC-5,UTC-4
NY,Clinton,BTV,Eastern Time,True,UTC-5,UTC-4
NY,Franklin,BTV,Eastern Time,True,UTC-5,UTC-4
NY,Cayuga,BUFBGM,Eastern Time,True,UTC-5,UTC-4
NY,Oneida,BGM,Eastern Time,True,UTC-5,UTC-4
NY,Herkimer,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Schenectady,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Albany,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Greene,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Ulster,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Dutchess,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Columbia,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Rensselaer,ALY,Eastern Time,True,UTC-5,UTC-4
NY,Saratoga,ALY,Eastern Time,True,UTC-5,UTC-4
NY,St. Lawrence,BTV,Eastern Time,True,UTC-5,UTC-4
PA,Centre,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Lycoming,CTP,Eastern Time,True,UTC-5,UTC-4
PA,Wayne,BGM,Eastern Time,True,UTC-5,UTC-4
PA,Erie,CLE,Eastern Time,True,UTC-5,UTC-4
PA,Clinton,CTP,Eastern Time,True,UTC-5,UTC-4
RI,Providence,BOX,Eastern Time,True,UTC-5,UTC-4
RI,Washington,BOX,Eastern Time,True,UTC-5,UTC-4
VT,Chittenden,BTV,Eastern Time,True,UTC-5,UTC-4
VT,Addison,BTV,Eastern Time,True,UTC-5,UTC-4
VT,Rutland,BTV,Eastern Time,True,UTC-5,UTC-4
VT,Windham,ALY,Eastern Time,True,UTC-5,UTC-4
VT,Franklin,BTV,Eastern Time,True,UTC-5,UTC-4
MA,Essex,BOX,Eastern Time,True,UTC-5,UTC-4
MA,Plymouth,BOX,Eastern Time,True,UTC-5,UTC-4
MA,Hampden,BOX,Eastern Time,True,UTC-5,UTC-4
RI,Kent,BOX,Eastern Time,True,UTC-5,UTC-4
NH,Rockingham,GYX,Eastern Time,True,UTC-5,UTC-4
ME,York,GYX,Eastern Time,True,UTC-5,UTC-4
ME,Cumberland,GYX,Eastern Time,True,UTC-5,UTC-4
ME,Franklin,GYX,Eastern Time,True,UTC-5,UTC-4
NJ,Bergen,OKX,Eastern Time,True,UTC-5,UTC-4
CT,New London,OKX,Eastern Time,True,UTC-5,UTC-4
MA,Suffolk,BOX,Eastern Time,True,UTC-5,UTC-4
ME,Waldo,GYX,Eastern Time,True,UTC-5,UTC-4
ME,Hancock,CAR,Eastern Time,True,UTC-5,UTC-4
NY,Nassau,OKX,Eastern Time,True,UTC-5,UTC-4
NJ,Essex,OKX,Eastern Time,True,UTC-5,UTC-4
MA,Barnstable,BOX,Eastern Time,True,UTC-5,UTC-4
ME,Kennebec,GYX,Eastern Time,True,UTC-5,UTC-4
CT,Middlesex,OKX,Eastern Time,True,UTC-5,UTC-4
CT,Fairfield,OKX,Eastern Time,True,UTC-5,UTC-4
NH,Coos,GYX,Eastern Time,True,UTC-5,UTC-4
VT,Caledonia,BTV,Eastern Time,True,UTC-5,UTC-4
KY,Madison,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Magoffin,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Marion,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Marshall,PAH,Central Time,True,UTC-6,UTC-5
KY,Martin,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Mason,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Meade,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Menifee,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Mercer,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Metcalfe,LMK,Central Time,True,UTC-6,UTC-5
KY,Monroe,LMK,Central Time,True,UTC-6,UTC-5
KY,Montgomery,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Morgan,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Muhlenberg,PAH,Central Time,True,UTC-6,UTC-5
KY,Nelson,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Nicholas,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Ohio,LMK,Central Time,True,UTC-6,UTC-5
KY,Oldham,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Owen,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Owsley,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Pendleton,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Perry,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Pike,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Powell,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Pulaski,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Robertson,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Rockcastle,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Rowan,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Russell,LMK,Central Time,True,UTC-6,UTC-5
KY,Scott,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Shelby,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Simpson,LMK,Central Time,True,UTC-6,UTC-5
KY,Spencer,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Taylor,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Todd,PAH,Central Time,True,UTC-6,UTC-5
KY,Trigg,PAH,Central Time,True,UTC-6,UTC-5
KY,Trimble,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Union,PAH,Central Time,True,UTC-6,UTC-5
KY,Warren,LMK,Central Time,True,UTC-6,UTC-5
KY,Washington,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Wayne,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Webster,PAH,Central Time,True,UTC-6,UTC-5
KY,Whitley,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Wolfe,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Woodford,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Lee,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Fulton,PAH,Central Time,True,UTC-6,UTC-5
KY,Adair,LMK,Central Time,True,UTC-6,UTC-5
KY,Allen,LMK,Central Time,True,UTC-6,UTC-5
KY,Anderson,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Ballard,PAH,Central Time,True,UTC-6,UTC-5
KY,Barren,LMK,Central Time,True,UTC-6,UTC-5
KY,Bath,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Bell,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Boone,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Bourbon,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Boyd,RLX,Eastern Time,True,UTC-5,UTC-4
KY,Boyle,LMK,Eastern Time,True,UTC-5,UTC-4
